x_absolute,tithi_d,t_engine_civil,t_ref_tt,diff_raw_h,diff_final_h
50520,30,2474702.4733026875,2474702.5757621937,-2.459028147161007,-2.459028147161007
50550,30,2474732.003889675,2474731.93592113,1.6312450803816319,1.6312450803816319
50580,30,2474761.534476662,2474761.248492799,6.8636127188801765,6.8636127188801765
50610,30,2474791.0650636493,2474790.5558591583,12.220907784998417,12.220907784998417
50640,30,2474820.5956506366,2474819.8916638265,16.89568344131112,16.89568344131112
50670,30,2474850.126237624,2474849.283641064,20.222317434847355,20.222317434847355
50700,30,2474879.656824611,2474878.7580133146,21.571471117436886,21.571471117436886
50730,30,2474909.1874115984,2474908.337422821,20.399730652570724,20.399730652570724
50760,30,2474938.7179985857,2474938.0271322276,16.58079259470105,16.58079259470105
50790,30,2474968.248585573,2474967.7953498205,10.877658057957888,10.877658057957888
50820,30,2474997.77917256,2474997.574271284,4.91763062775135,4.91763062775135
50850,30,2475027.3097595475,2475027.2942303102,0.3727016933262348,0.3727016933262348
50880,30,2475056.8403465347,2475056.9151056535,-1.7942188493907452,-1.7942188493907452
50910,30,2475086.370933522,2475086.4326661984,-1.48158423230052,-1.48158423230052
50940,30,2475115.9015205093,2475115.866682595,0.8361099399626255,0.8361099399626255
50970,30,2475145.4321074965,2475145.2442865083,4.507703717797995,4.507703717797995
51000,30,2475174.962694484,2475174.5929506877,8.873851105570793,8.873851105570793
51030,30,2475204.493281471,2475203.942194771,13.226080801337957,13.226080801337957
51060,30,2475234.0238684583,2475233.3246041955,16.782342307269573,16.782342307269573
51090,30,2475263.5544554456,2475262.7716664555,18.78693576157093,18.78693576157093
51120,30,2475293.085042433,2475292.303933227,18.746620941907167,18.746620941907167
51150,30,2475322.61562942,2475321.9200209836,16.694602478295565,16.694602478295565
51180,30,2475352.1462164074,2475351.595463345,13.21807350218296,13.21807350218296
51210,30,2475381.6768033947,2475381.2939159228,9.189299326390028,9.189299326390028
51240,30,2475411.207390382,2475410.9808243946,5.4375836960971355,5.4375836960971355
51270,30,2475440.737977369,2475440.6299701096,2.592174232006073,2.592174232006073
51300,30,2475470.2685643565,2475470.22109131,1.1393531151115894,1.1393531151115894
51330,30,2475499.7991513438,2475499.7416866943,1.3791515864431858,1.3791515864431858
51360,30,2475529.329738331,2475529.194864277,3.2369773015379906,3.2369773015379906
51390,30,2475558.8603253183,2475558.60151146,6.211532603949308,6.211532603949308
51420,30,2475588.3909123056,2475587.9940393977,9.524949789047241,9.524949789047241
51450,30,2475617.921499293,2475617.404708337,12.4029829390347,12.4029829390347
51480,30,2475647.45208628,2475646.8537542894,14.359967775642872,14.359967775642872
51510,30,2475676.9826732674,2475676.344527674,15.315494243055582,15.315494243055582
51540,30,2475706.5132602546,2475705.870405197,15.428521379828453,15.428521379828453
51570,30,2475736.043847242,2475735.4281814005,14.775980193167925,14.775980193167925
51600,30,2475765.574434229,2475765.0224051476,13.248697958886623,13.248697958886623
51630,30,2475795.1050212164,2475794.6533646663,10.839757204055786,10.839757204055786
51660,30,2475824.6356082037,2475824.3038464836,7.962281282991171,7.962281282991171
51690,30,2475854.166195191,2475853.941770465,5.386193420737982,5.386193420737982
51720,30,2475883.6967821782,2475883.536231916,3.853206295520067,3.853206295520067
51750,30,2475913.2273691655,2475913.0757849775,3.6380205117166042,3.6380205117166042
51780,30,2475942.757956153,2475942.572674196,4.446766957640648,4.446766957640648
51810,30,2475972.28854314,2475972.0479262113,5.7748062908649445,5.7748062908649445
51840,30,2476001.8191301273,2476001.514128267,7.320044651627541,7.320044651627541
51870,30,2476031.3497171146,2476030.9709838447,9.08959847688675,9.08959847688675
51900,30,2476060.880304102,2476060.4153204802,11.159606918692589,11.159606918692589
51930,30,2476090.410891089,2476089.8546038065,13.350894782692194,13.350894782692194
51960,30,2476119.9414780764,2476119.3101315727,15.152316089719534,15.152316089719534
51990,30,2476149.4720650637,2476148.8077186747,15.94431333616376,15.94431333616376
52020,30,2476179.002652051,2476178.363033385,15.350847981870174,15.350847981870174
52050,30,2476208.533239038,2476207.971150105,13.49013439938426,13.49013439938426
52080,30,2476238.0638260255,2476237.6106252666,10.876818213611841,10.876818213611841
52110,30,2476267.5944130127,2476267.258276488,8.06727658957243,8.06727658957243
52140,30,2476297.125,2476296.8965377314,5.483094446361065,5.483094446361065
52170,30,2476326.6555869873,2476326.5114055607,3.4603542387485504,3.4603542387485504
52200,30,2476356.1861739745,2476356.088208393,2.3511739522218704,2.3511739522218704
52230,30,2476385.716760962,2476385.611347808,2.529915690422058,2.529915690422058
52260,30,2476415.247347949,2476415.0738339527,4.164335913956165,4.164335913956165
52290,30,2476444.7779349363,2476444.4855494914,7.017250679433346,7.017250679433346
52320,30,2476474.3085219236,2476473.870208533,10.519521374255419,10.519521374255419
52350,30,2476503.839108911,2476503.2566297115,13.979500785470009,13.979500785470009
52380,30,2476533.369695898,2476532.671130531,16.76556881144643,16.76556881144643
52410,30,2476562.9002828854,2476562.1348118563,18.37130469828844,18.37130469828844
52440,30,2476592.4308698727,2476591.6648406717,18.38470082357526,18.38470082357526
52470,30,2476621.96145686,2476621.2719558193,16.548024974763393,16.548024974763393
52500,30,2476651.492043847,2476650.952423109,12.950897712260485,12.950897712260485
52530,30,2476681.0226308345,2476680.6802844047,8.216314315795898,8.216314315795898
52560,30,2476710.5532178218,2476710.405874033,3.5362509302794933,3.5362509302794933
52590,30,2476740.083804809,2476740.0738746976,0.2383226752281189,0.2383226752281189
52620,30,2476769.6143917963,2476769.651825498,-0.8984088376164436,-0.8984088376164436
52650,30,2476799.1449787836,2476799.138606023,0.15294625237584114,0.15294625237584114
52680,30,2476828.675565771,2476828.5524737053,2.9542095735669136,2.9542095735669136
52710,30,2476858.206152758,2476857.917005519,6.939533740282059,6.939533740282059
52740,30,2476887.7367397454,2476887.2556987274,11.544984430074692,11.544984430074692
52770,30,2476917.2673267326,2476916.595143299,16.132402405142784,16.132402405142784
52800,30,2476946.79791372,2476945.9697182924,19.87669026106596,19.87669026106596
52830,30,2476976.328500707,2476975.4206589423,21.788202356547117,21.788202356547117
52860,30,2477005.8590876944,2477004.984586761,20.988022405654192,20.988022405654192
52890,30,2477035.3896746817,2477034.6709549404,17.249273791909218,17.249273791909218
52920,30,2477064.920261669,2477064.4446507026,11.414663191884756,11.414663191884756
52950,30,2477094.4508486562,2477094.2366525214,5.1407072357833385,5.1407072357833385
52980,30,2477123.9814356435,2477123.9765816005,0.11649703234434128,0.11649703234434128
53010,30,2477153.512022631,2477153.622202074,-2.644306641072035,-2.644306641072035
53040,30,2477183.042609618,2477183.1632620837,-2.895659174770117,-2.895659174770117
53070,30,2477212.5731966053,2477212.6060541044,-0.7885799780488014,-0.7885799780488014
53100,30,2477242.1037835926,2477241.965547283,3.317671425640583,3.317671425640583
53130,30,2477271.63437058,2477271.268084895,8.790856439620256,8.790856439620256
53160,30,2477301.164957567,2477300.5533200568,14.679300248622894,14.679300248622894
53190,30,2477330.6955445544,2477329.8708963864,19.791556030511856,19.791556030511856
53220,30,2477360.2261315417,2477359.271704343,22.9062527641654,22.9062527641654
53250,30,2477389.756718529,2477388.794024569,23.104655038565397,23.104655038565397
53280,30,2477419.287305516,2477418.447842587,20.147110305726528,20.147110305726528
53310,30,2477448.8178925035,2477448.205938472,14.68689675629139,14.68689675629139
53340,30,2477478.3484794907,2477478.01291578,8.053529061377048,8.053529061377048
53370,30,2477507.879066478,2477507.8053491274,1.769216414541006,1.769216414541006
53400,30,2477537.4096534653,2477537.524714886,-2.7614741027355194,-2.7614741027355194
53430,30,2477566.9402404525,2477567.1294392133,-4.540770258754492,-4.540770258754492
53460,30,2477596.47082744,2477596.6061127177,-3.246846668422222,-3.246846668422222
53490,30,2477626.001414427,2477625.97153291,0.7171564064919949,0.7171564064919949
53520,30,2477655.5320014143,2477655.2659792188,6.384532693773508,6.384532693773508
53550,30,2477685.0625884016,2477684.5408133343,12.52260161563754,12.52260161563754
53580,30,2477714.593175389,2477713.8466693386,17.91614520549774,17.91614520549774
53610,30,2477744.123762376,2477743.225009043,21.570080000907183,21.570080000907183
53640,30,2477773.6543493634,2477772.702907015,22.834616359323263,22.834616359323263
53670,30,2477803.1849363507,2477802.2927715783,21.411954537034035,21.411954537034035
53700,30,2477832.715523338,2477831.9925172045,17.352147202938795,17.352147202938795
53730,30,2477862.246110325,2477861.7765080053,11.270455677062273,11.270455677062273
53760,30,2477891.7766973125,2477891.5879097944,4.5309004336595535,4.5309004336595535
53790,30,2477921.3072842997,2477921.3506971234,-1.0419077686965466,-1.0419077686965466
53820,30,2477950.837871287,2477951.0002901,-3.8980515114963055,-3.8980515114963055
53850,30,2477980.3684582743,2477980.5147535615,-3.511086892336607,-3.511086892336607
53880,30,2478009.8990452616,2478009.9163681027,-0.4157481864094734,-0.4157481864094734
53910,30,2478039.429632249,2478039.2491087005,4.332565158605576,4.332565158605576
53940,30,2478068.960219236,2478068.5584821953,9.641688980162144,9.641688980162144
53970,30,2478098.4908062234,2478097.881991994,14.611541502177715,14.611541502177715
54000,30,2478128.0213932106,2478127.248575741,18.54761927202344,18.54761927202344
54030,30,2478157.551980198,2478156.6832639202,20.849190663546324,20.849190663546324
54060,30,2478187.082567185,2478186.209705797,20.94867331534624,20.94867331534624
54090,30,2478216.6131541724,2478215.8430682365,18.482062462717295,18.482062462717295
54120,30,2478246.1437411597,2478245.572134106,13.718569289892912,13.718569289892912
54150,30,2478275.674328147,2478275.346457288,7.868900611996651,7.868900611996651
54180,30,2478305.2049151342,2478305.0950006605,2.6379473693668842,2.6379473693668842
54210,30,2478334.7355021215,2478334.7628964265,-0.6574633195996284,-0.6574633195996284
54240,30,2478364.266089109,2478364.32952101,-1.5223656333982944,-1.5223656333982944
54270,30,2478393.796676096,2478393.8045731457,-0.1895291917026043,-0.1895291917026043
54300,30,2478423.3272630833,2478423.212517595,2.753891721367836,2.753891721367836
54330,30,2478452.8578500706,2478452.579843307,6.67216232791543,6.67216232791543
54360,30,2478482.388437058,2478481.93334541,10.922199547290802,10.922199547290802
54390,30,2478511.919024045,2478511.3025771324,14.79472590610385,14.79472590610385
54420,30,2478541.4496110324,2478540.7186774686,17.542405530810356,17.542405530810356
54450,30,2478570.9801980196,2478570.2075339803,18.54393694549799,18.54393694549799
54480,30,2478600.510785007,2478599.778810634,17.56738495454192,17.56738495454192
54510,30,2478630.041371994,2478629.41934147,14.928732577711344,14.928732577711344
54540,30,2478659.5719589815,2478659.0993331815,11.34301919862628,11.34301919862628
54570,30,2478689.1025459687,2478688.7852826817,7.614318888634443,7.614318888634443
54600,30,2478718.633132956,2478718.4495330076,4.4063987620174885,4.4063987620174885
54630,30,2478748.1637199433,2478748.0708122985,2.2297834753990173,2.2297834753990173
54660,30,2478777.6943069305,2478777.6319082035,1.4975694492459297,1.4975694492459297
