Y,n,d,t_tib_raw,t_de_tt,diff_hours,k
1422,-6987,30,2240583.704290527,2240583.239397114,11.157441906630993,280
1422,-6986,30,2240613.1652534124,2240612.695969411,11.262816030532122,281
1422,-6985,30,2240642.6914180666,2240642.2439184934,10.739989757537842,282
1422,-6984,30,2240672.296069257,2240671.8840477313,9.888516616076231,283
1422,-6983,30,2240701.951695729,2240701.588551869,8.715452637523413,284
1422,-6982,30,2240731.647371953,2240731.314738878,7.983193796128035,285
1422,-6981,30,2240761.354139545,2240761.0222789343,7.96465465798974,286
1422,-6980,30,2240791.0347561464,2240790.679810409,8.518697697669268,287
1423,-6979,30,2240820.646617318,2240820.262753846,9.212723325937986,288
1423,-6978,30,2240850.1698245374,2240849.755232897,9.950199365615845,289
1423,-6977,30,2240879.59557065,2240879.1585934577,10.487452615052462,290
1423,-6976,30,2240908.96703855,2240908.496058026,11.30353257805109,291
1423,-6975,30,2240938.3036805796,2240937.8076479463,11.904783200472593,292
1423,-6974,30,2240967.6248641866,2240967.1395247043,11.648147575557232,293
1423,-6973,30,2240996.9868754023,2240996.5333550368,10.88448877260089,294
1423,-6972,30,2241026.442946082,2241026.0186499585,10.18310696259141,295
1423,-6971,30,2241056.0096303606,2241055.6090440047,9.614072542637587,296
1423,-6970,30,2241085.6830488257,2241085.3006889597,9.176636785268784,297
1423,-6969,30,2241115.3986255466,2241115.0686820555,7.9186437875032425,298
1423,-6968,30,2241145.161217193,2241144.8625930427,7.166979610919952,299
1423,-6967,30,2241174.9257238675,2241174.613446055,7.494667500257492,300
1424,-6966,30,2241204.6230347753,2241204.2604912347,8.701044972985983,301
1424,-6965,30,2241234.1989921327,2241233.779081072,10.077865451574326,302
1424,-6964,30,2241263.652077738,2241263.184241869,11.228060860186815,303
1424,-6963,30,2241293.0125391628,2241292.5136800236,11.972619339823723,304
1424,-6962,30,2241322.318584177,2241321.810010201,12.205775432288647,305
1424,-6961,30,2241351.590798346,2241351.112168688,11.487111791968346,306
1424,-6960,30,2241380.889317498,2241380.4552357364,10.417962279170752,307
1424,-6959,30,2241410.279410526,2241409.873670498,9.737760677933693,308
1424,-6958,30,2241439.8044695975,2241439.400990802,9.683491095900536,309
1424,-6957,30,2241469.4412754904,2241469.0587987876,9.17944086715579,310
1424,-6956,30,2241499.178983618,2241498.8347842665,8.260784436017275,311
1424,-6955,30,2241528.9619732746,2241528.6674641483,7.068219032138586,312
1425,-6954,30,2241558.7569032293,2241558.4659589203,6.982663415372372,313
1425,-6953,30,2241588.49929824,2241588.158228638,8.18567044660449,314
1425,-6952,30,2241618.1344477325,2241617.7200833755,9.944744568318129,315
1425,-6951,30,2241647.6379341115,2241647.1657524253,11.332360468804836,316
1425,-6950,30,2241677.027365764,2241676.5253507146,12.04836118966341,317
1425,-6949,30,2241706.319059914,2241705.8318360914,11.693371742963791,318
1425,-6948,30,2241735.585303934,2241735.1197190024,11.174038354307413,319
1425,-6947,30,2241764.8639857643,2241764.4284101618,10.453814461827278,320
1425,-6946,30,2241794.2157111075,2241793.802904957,9.907347612082958,321
1425,-6945,30,2241823.6764232623,2241823.286630286,9.355031434446573,322
1425,-6944,30,2241853.266988138,2241852.904381974,8.702547937631607,323
1425,-6943,30,2241882.9744131574,2241882.6423445083,7.969647578895092,324
1425,-6942,30,2241912.7627293556,2241912.4446672513,7.63349050283432,325
1426,-6941,30,2241942.551191649,2241942.2378206765,7.520903337746859,326
1426,-6940,30,2241972.3055743403,2241971.9619175857,8.247762110084295,327
1426,-6939,30,2242001.9773502243,2242001.5834782026,9.452928520739079,328
1426,-6938,30,2242031.5488457642,2242031.092654855,10.94858182221651,329
1426,-6937,30,2242060.979861165,2242060.4991577594,11.536881733685732,330
1426,-6936,30,2242090.3078776714,2242089.830323843,11.461291886866093,331
1426,-6935,30,2242119.580307034,2242119.127601967,10.864921599626541,332
1426,-6934,30,2242148.878889362,2242148.43949002,10.545584209263325,333
1426,-6933,30,2242178.225232884,2242177.81161166,9.926909375935793,334
1426,-6932,30,2242207.6428509858,2242207.2756789345,8.812129229307175,335
1426,-6931,30,2242237.173933511,2242236.841459302,7.979381013661623,336
1426,-6930,30,2242266.833238022,2242266.497290572,8.062738794833422,337
1427,-6929,30,2242296.568247342,2242296.2175467215,8.416814893484116,338
1427,-6928,30,2242326.3315497204,2242325.9669298506,8.750876873731613,339
1427,-6927,30,2242356.055335397,2242355.6998361233,8.531982567161322,340
1427,-6926,30,2242385.7445439585,2242385.366941823,9.062451247125864,341
1427,-6925,30,2242415.348934547,2242414.9336286425,9.967341709882021,342
1427,-6924,30,2242444.850557229,2242444.395955693,10.910436864942312,343
1427,-6923,30,2242474.2461663275,2242473.780624755,11.172997735440731,344
1427,-6922,30,2242503.591374653,2242503.1312402776,11.043225008994341,345
1427,-6921,30,2242532.923643706,2242532.490920286,10.385362073779106,346
1427,-6920,30,2242562.289638969,2242561.889071896,9.613609749823809,347
1427,-6919,30,2242591.69593274,2242591.3379668193,8.591182094067335,348
1427,-6918,30,2242621.184169968,2242620.840778852,8.241386789828539,349
1428,-6917,30,2242650.755025849,2242650.4021908264,8.46804054826498,350
1428,-6916,30,2242680.408443129,2242680.0270054713,9.154503788799047,351
1428,-6915,30,2242710.093922322,2242709.705319104,9.326477240771055,352
1428,-6914,30,2242739.79216113,2242739.40246378,9.35273640230298,353
1428,-6913,30,2242769.455996557,2242769.070863215,9.243200216442347,354
1428,-6912,30,2242799.0782896965,2242798.6754602613,9.667906444519758,355
1428,-6911,30,2242828.6339517054,2242828.2087149606,10.205681875348091,356
1428,-6910,30,2242858.131373171,2242857.6859489195,10.69018204137683,357
1428,-6909,30,2242887.5657053213,2242887.1305934717,10.442684389650822,358
1428,-6908,30,2242916.9741253657,2242916.5617005797,9.89819486439228,359
1428,-6907,30,2242946.3644928155,2242945.990514224,8.975486196577549,360
1428,-6906,30,2242975.797403502,2242975.4256631974,8.921767305582762,361
1428,-6905,30,2243005.257677372,2243004.8797343187,9.07063328102231,362
1429,-6904,30,2243034.762056115,2243034.3690539883,9.432051043957472,363
1429,-6903,30,2243064.3012923165,2243063.9052333804,9.505414467304945,364
1429,-6902,30,2243093.8933497295,2243093.4864463527,9.76568104326725,365
1429,-6901,30,2243123.5225823773,2243123.0982503626,10.183968354016542,366
1429,-6900,30,2243153.154762589,2243152.7230093386,10.362078007310629,367
1429,-6899,30,2243182.756657718,2243182.347078628,9.829898167401552,368
1429,-6898,30,2243212.357557822,2243211.9596987553,9.548617601394653,369
1429,-6897,30,2243241.9388693613,2243241.5484672855,9.369649820029736,370
1429,-6896,30,2243271.498507521,2243271.0998528115,9.567713029682636,371
1429,-6895,30,2243300.9912144644,2243300.6067153756,9.227978132665157,372
1429,-6894,30,2243330.460856178,2243330.0748208403,9.264848101884127,373
1429,-6893,30,2243359.9142971495,2243359.519893128,9.465696517378092,374
1430,-6892,30,2243389.37457102,2243388.9578475384,10.001363553106785,375
1430,-6891,30,2243418.8117263555,2243418.3983196467,9.921761009842157,376
1430,-6890,30,2243448.257005754,2243447.8472264414,9.834703501313925,377
1430,-6889,30,2243477.733691612,2243477.3145866035,10.058520197868347,378
1430,-6888,30,2243507.2689674566,2243506.8183547836,10.814704153686762,379
1430,-6887,30,2243536.834125635,2243536.378336603,10.938936777412891,380
1430,-6886,30,2243566.4350257395,2243566.0024535116,10.38173346966505,381
1430,-6885,30,2243596.053338779,2243595.674497819,9.092183042317629,382
1430,-6884,30,2243625.7100135814,2243625.355694184,8.503665536642075,383
1430,-6883,30,2243655.3544045645,2243655.0041906284,8.405134465545416,384
1430,-6882,30,2243684.968701968,2243684.596922316,8.92271164432168,385
1430,-6881,30,2243714.5240915297,2243714.133102243,9.38374288380146,386
1431,-6880,30,2243744.0311907968,2243743.6199092655,9.87075674906373,387
1431,-6879,30,2243773.480021881,2243773.0602469267,10.074598900973797,388
1431,-6878,30,2243802.892285801,2243802.456289828,10.463903356343508,389
